provider,website,fund_name,region,country,location,organisation_type,provision,investment_term,loans_rate,min_size,max_size,focus,last_updated,status
Big Issue Invest,http://bigissueinvest.com/funds/social-enterprise/,Social Enterprise Investment Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Equity",,,50000,1500000,"Big Issue Invest (BII) is a specialised provider of finance to social enterprises or trading arms of charities in the UK that are finding business solutions that create social and environmental transformation. It operates the Social Enterprise Investment Fund; it does not provide grants but offers Loans, participation loans (quasi-equity) and equity. BII also runs a loan fund. Job creation, education, training, health and social care, social and financial inclusion, environment, community development and social housing, homelessness. Social ventures should be based in the UK and should have been operating for at least 24 months (newer businesses are considered on a case-by-case basis) ",01 December 2014,Open
Big Issue Invest,http://bigissueinvest.com/funds/threadneedle/,Threadneedle,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Loans,,,,,"Big Issue Invest conceived the fund proposition and designed the Social Assessment Methodology which provides screening criteria for investment decisions that maximise the social performance of the Fund – channelling as much investment as possible to people and places with the greatest social need. BII acts as the Fund’s Social Advisor and reviews and challenges individual bond social assessments and the overall social performance of the Fund through the Fund’s Social Advisory Committee. The first Interim Social Performance report is available here. BII has three objectives in developing this Fund:

To bring the mainstream into social investment.
To encourage more issuance of social bonds by charities, local authorities and corporates.
To help finance the work of Big Issue Invest’s direct investing in social enterprises through the Fund’s fee sharing arrangement. ",01 December 2014,Open
Bridges Ventures,http://bridgesventures.com/sustainable-growth-funds/,Sustainable Growth Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Equity,,,2000000,15000000,"Business must operate in the 25% most deprived wards in the UK (as defined by the Index of Multiple Deprivation and listed on website.) Specific sectors include: education & skills, vocational training, leisure and hospitality, consumer products and services, business and financial services, manufacturing and distribution and protection of the environment ",01 December 2014,Open
Bridges Ventures,http://bridgesventures.com/social-sector-funds/social-entrepreneurs-fund/,Social Entrepreneurs Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Equity,,,300000,1500000,“The Bridges Social Entrepreneurs Fund aims to address the funding gap often faced by fast growing social enterprises looking to scale”. This fund offers flexible and tailored investment in the form of quasi-equity and equity for fast growing UK based social enterprises. It does not offer grants. Businesses with a clear social mission and demonstrable ability to scale ,01 December 2014,Open
Bridges Ventures,http://bridgesventures.com/social-sector-funds/social-impact-bond-fund/,Social Impact Bond Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Loans,,,,3000000,"The  Bridges Social Impact Bond fund was launched in April 2013 with Big Society Capital as cornerstone investor, alongside Omidyar Network and Panaphur, and a co-investment agreement with the Bridges Social Entrepreneurs Fund. The fund provides investment and support to charities and social enterprises delivering  intervention programmes which significantly improve social outcome ",01 December 2014,Open
Ecology Building Socierty,http://www.ecology.co.uk/mortgages/commercial/,Sustainable Mortgages,United Kingdom,"England, Scotland, Wales, Ireland",,,Loans,,,,1000000,"Mortgages are available for established environmental businesses, registered charities and voluntary organisations, community owned enterprises, fair-trade businesses and ecological property developers using green, eco -techniques or carrying out renovations in sustainable manner. Organisations must be already established – will not provide loan finance to start-ups ",01 December 2014,Open
Key Fund,http://thekeyfund.co.uk/,The Key Fund,United Kingdom,England,"East Midlands, North East; North West, Yorkshire, Humber",,"Grant, Loans, Equity, Support",,,2500,150000,"The Key Fund is a social enterprise offering secured and unsecured loans, grants, equity and quasi-equity for property, asset and equipment purchases, working capital, development capital, risk capital and for other business purposes. Social enterprises; charities; voluntary and community organisations; social businesses; co-operatives/mutuals ",01 December 2014,Open
Resonance,http://www.resonance.ltd.uk/funds/underwriters-club/,Community Share Underwriting Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Loans,,,25000,500000,"Community projects of all types which are planning to raise capital through a community share issue. The Community Share Underwriting Fund has been developed in response to the growing number of Community Benefit Societies seeking to raise funds through community share issues.  It is operated by our community lending vehicle, Community Land & Finance CIC. Projects approved for support from the Fund will be able to draw down up to 50% of the community share issue target.  They will be able to advertise this underwriting support on launch of the share issue, which helps to boosts confidence among potential retail investors and encourage higher uptake. ",01 December 2014,Open
Resonance,http://www.resonance.ltd.uk/funds/community-land-trust-rental-housing/,Affordable Homes Rental Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Loans,,,,,The Affordable Homes Rental Fund is operated by Resonance's community development finance institution Community Land & Finance CIC.  The primary aim of the Fund is to facilitate delivery of grant-free affordable rental housing by providing development capital and medium term finance to Community Land Trusts or other community-led organisations. ,01 December 2014,Open
The Social Enterprise Loan Fund,http://www.tself.org.uk/regional.html,Social Enterprise Loan Fund,United Kingdom,"England, Scotland",,,Loans,,,,250000,"Organisations operating in one of the 25% most deprived boroughs in England. Organisations operating in one of the 25% most deprived boroughs in England. Working capital loans of up to £50,000, Fixed asset loans of up to £100,000 and land & building loans of up to £250,000 ",01 December 2014,Open
Social Investments Scotland,http://www.socialinvestmentscotland.com/looking-for-investment/,SIS CDFI,United Kingdom,Scotland,,Non-profit,Loans,10,,10000,250000,"Third Sector organisations (charities, community and voluntary organisations, not-for-profits and social enterprises) operating in Scotland Key Requirements: Any profits made by your organisation must be reinvested for community benefit Social Investment Scotland (SIS) provides business loan finance from £10k upwards and is aimed at charities, community organisations and social enterprises that might find it difficult to access finance from mainstream providers. Repaid loans are recycled to provide further support to other organisations and rates are fixed throughout the loan period. They offer all purpose loans, bridging loans and property loans (property loans are offered in partnership with Triodos Bank – see section 4.3.v). SIS has also been managing agent for Scottish Investment Fund £30m, which closed in March 2012",01 December 2014,Open
Social Investments Scotland,http://www.socialinvestmentscotland.com/social-growth-fund/,Social Growth Fund,United Kingdom,Scotland,,Non-profit,Loans,,,10000,1000000,"The Social Growth Fund represents a major funding boost for Scotland's social enterprises and third sector organisations as a result of significant new investments from both the Scottish Government and Big Society Capital, the UK wide, independent organisation that has been set up to grow the size of the social investment marketplace. See http://www.socialinvestmentscotland.com/files/7413/9687/8871/Annouce_Stakeholder_QA_FINAL.pdf",01 December 2014,Open
Social Investments Scotland,http://www.socialinvestmentscotland.com/social-growth-fund/,Investment Readiness Programme,United Kingdom,Scotland,,Non-profit,Support,,,,,"In tandem with this new funding, SIS is also announcing the roll-out of a new investment readiness programme, designed to increase the knowledge, awareness and confidence of organisations looking to take on investment. ",01 December 2014,Open
Social Investments Scotland,http://www.socialinvestmentscotland.com/looking-for-investment/our-funds/,All Purpose Loan,United Kingdom,Scotland,,Non-profit,Loans,13,8%,10000,1000000,"Repayable up to a maximum of 13 years, our All Purpose Loan has a fixed interest rate and capital payments so you know exactly what your organisation is required to pay each month
Ideal for assisting with capital expenditure, revenue funding, marketing, business development or working capital
Loans range from £10,000 to £1,000,000 with no penalty for partial or full early repayment
Competitive interest rates - currently between 7% and 9% fixed over life of the loan
1% Arrangement fee ",01 December 2014,Open
Social Investments Scotland,http://www.socialinvestmentscotland.com/looking-for-investment/our-funds/,Bridging Loan,United Kingdom,Scotland,,Non-profit,Loans,1,7%,10000,250000,"Short term finance provided at short notice
Used to cover timing issues for receipt of approved grant monies to enable your project to proceed when the secured grant funding is being paid in arrears
Loans from £10,000 to £250,000 with no security normally required
Competitive interest rates - currently fixed at 7%
1% Commitment fee - paid upfront on issue of facility letter
1% Arrangement Fee - paid on first drawdown ",01 December 2014,Open
Social Investments Scotland,http://www.socialinvestmentscotland.com/looking-for-investment/our-funds/,Triodos Property Loan,United Kingdom,Scotland,,Non-profit,Loans,13,8%,30000,1000000,"Working in partnership with Triodos Bank we provide term loans up to a maximum 13 years (see note 1)
Ideal for assisting with all types of property purchase, refurbishments or major capital spends Triodos provide up to 70% Loan To Value or purchase price (whichever is the lower) and SIS can provide up to the remaining 30% of the loan even if you don't have any equity
SIS Loans range from £30,000 to £1,000,000 depending on percentage split
Competitive interest rates - currently between 7% and 9% fixed over life of the loan (see note 2)
Our arrangement Fee - 1% of SIS borrowing (see note 3)
1. Triodos can provide loans for up to 25 years.
2. Triodos interest rates and fees to be agreed by them.
3. Tridos arrangement fee subject to circumstances. ",01 December 2014,Open
Acumen Fund,http://acumen.org/investments/apply-for-investment/,Acumen Fund,"Global ex UK, Europe & US","East Africa, West Africa, India, Pakistan",,,"Loans, Equity",,,150000,1600000,"Companies addressing needs in water, health, agriculture, energy, housing or education in East Africa, West Africa, India or Pakistan. Should be able to demonstrate social impact, financial sustainability, and ability to scale Acumen Fund uses donated capital to invest in businesses that address the needs of those at the ‘base of the pyramid’ (BoP). The fund offers patient capital in a range of financial instruments including Loans, equity and quasi-equity.",01 December 2014,Open
CAF Venturesome,https://www.cafonline.org/charity-finance--fundraising/borrowing/social-investment.aspx,Social Investment Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Loans,,,25000,250000,"Loans-based or quasi-equity finance for charities and social enterprises. CAF Venturesome provides affordable financial support to charities, social enterprises and community groups when grants may not be available and access to traditional financial institutions is difficult. Organisation must be UK-registered but activities can be anywhere in the world and must have clear charitable purpose and social impact (though does not need to be a registered charity)",01 December 2014,Open
CAF Venturesome,https://www.cafonline.org/my-personal-giving/long-term-giving/social-investment/caf-social-impact-fund.aspx,Social Impact Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,"Loans, Equity",,,,," CAF run the Charities Aid Foundation’s Social Impact Fund - a social investment fund that provides Loans and equity-like finance, often to provide working or bridging capital, to help charities and social enterprises deliver on their mission.",01 December 2014,Open
CAN Invest,http://can-invest.org.uk/services/funds-investment/can-early-intervention-fund,CAN Early Intervention Fund,United Kingdom,England,East London,"For-profit, non-profit","Loans, Support",,5%,,50000,The Early Intervention Fund is a new fund launched by CAN to accelerate positive early intervention impact on communities and individuals in East London. ,01 December 2014,Open
CAN Invest,http://can-invest.org.uk/services/funds-investment/community-enterprise-loan-fund,Community Assets Fund,United Kingdom,England,West Lindsey,,"Grant, Loans",,,,150000,"The Community Assets Fund provides grant and loan finance and business support to help community groups manage community assets and start up or scale up community enterprises  in West Lindsey. Develop local enterprises, through funding, business support and influencing, to be more sustainable and have greater social impact in their communities; Leverage national and regional funds into West Lindsey through matching commitments, to make existing funds stretch even further; Provide flexible financing options to support critical, high impact ventures as well as recycling funds and fostering entrepreneurial spirit in West Lindsey. Finance: up to £150k mixture of grant and loan, with up to £10k grant for feasibility or development for certain types of enterprise;  Business support: provided through the Fund, Fund partners or through feasibility grants, in areas such as business planning, financial forecasting and community consultation; Investment and business readiness: helping local enterprises to improve their operations and (where applicable) prepare them to approach larger funders or take on larger amounts of investment through active engagement, feedback and reporting requirements.",01 December 2014,Open
CAN Invest,http://can-invest.org.uk/services/funds-investment/investment-and-contract-readiness,Investment & Contract Readiness Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Support,,,,,"CAN Invest is an Approved Provider for the Investment and Contract Readiness (ICR) Fund, a £10m fund managed by The Social Investment Business (SIB), which aims to support social ventures of all kinds that tackle social problems, are financially sustainable and want to scale up.  ",01 December 2014,Open
CAN Invest,http://can-invest.org.uk/services/funds-investment/can-breakthrough,Breakthrough Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Grant,,,25000,200000,"Founded in 2006, CAN Breakthrough provides grant funding and management support  specifically to enable established social ventures with a minimum turnover of £500k, three years’ trading and a scalable business model to scale up and maximise their social impact.",01 December 2014,Open
Private Equity Foundation (PEF),http://www.impetus-pef.org.uk/how-we-work/investing-in-charities/,Impetus Fund,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,"Grant, Support",,,50000,500000,we look for promising charities and social enterprises that aim to effect far-reaching change for the children or young people they help. organisations who are helping the poorest 20% of the UK population,01 December 2014,Open
Inspiring Scotland,http://www.inspiringscotland.org.uk/our-funds/link-up,Link Up,United Kingdom,Scotland,,Non-profit,"Grant, Support",,,,,"Link Up   increases opportunities for people in communities to come together, get to know different people, participate and help each other. Link Up focuses on people as contributors. By doing things together and helping each other, individuals and communities. Robust monitoring and evaluation looks at the difference these activities make to community integration and how this helps  to improve  individual and community resilience & well-being as well as community safety and health indicators.become more resilient, happier and better able to face some of the challenges they face.  We are working in partnership with 10 areas in Scotland to deliver this unique and highly effective model.   ",01 December 2014,Open
Inspiring Scotland,http://www.inspiringscotland.org.uk/our-funds/go-2-play,Go2Play,United Kingdom,Scotland,,Non-profit,Grant,,,,15000,"The Play Strategy Fund is looking to invest in Scottish charities with innovative play ideas. Offering up to £15,000 of development support to turn great ideas into a reality, applicants should demonstrate how they support outcomes within Scotland's Play Strategy.   ",01 December 2014,Open
Inspiring Scotland,http://www.inspiringscotland.org.uk/our-funds/1419-fund,14:19 Fund,United Kingdom,Scotland,,Non-profit,Grant,,,,,"The 14:19 Fund is Inspiring Scotland first, and longest running fund which offers up to 10 years of investment and support to a selected portfolio of ventures all focused on supporting disadvantaged young people aged 14 to 19 into positive destinations of employment, education or training.   ",01 December 2014,Open
LGT Venture Philanthropy,http://www.lgtvp.com/Implementation/Accelerator-Program.aspx,Accelerator Fund,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Grant, Support",,,,,"The Accelerator Program aims to unlock the potential of social enterprises, create a strong deal pipeline for investors, and build ecosystems for impact investing in developing and emerging countries. Since its first launch in 2012, the Accelerator Program has attracted over 300 applicants from China, Thailand, Vietnam, Indonesia and the Philippines. Following intensive screening and due-diligence by our ICats Accelerator Fellows, seven early-stage organizations are receiving the necessary support to improve core business areas, strengthen their organizational capabilities, and become eligible for larger investments. The Accelerator Program is a 9-24 month program for social entrepreneurs seeking to take their organizations to the next level of growth and impact. The program provides hands-on business consulting and customized financial support to outstanding, early-stage social ventures with a high potential for scaling-up and positive impact. ",01 December 2014,Open
Social Business Trust,http://www.socialbusinesstrust.org/how-to-apply,Social Business trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,"Grant, Support",,,,10000000,"Social enterprises that are registered charities, have a proven track record and ambitious plans; must have annual revenue in excess of £1.5 million, be at least 12 months old and help at least 1000 people a year through their services (directly or indirectly). Social Business Trust works with social enterprises capable of scaling up their operations on a regional and national level to become investment ready and attract funds from its corporate partners. Through its corporate partners, the Social Business Trust works with social enterprises to take a long-term view towards financial sustainability, skills development, due diligence, and investment. The trust aim to invest in five social enterprises per year. The organisation should be registered as a charity or demonstrate a clear charitable purpose",01 December 2014,Open
Venture Partnership Foundation,http://www.vpf.org.uk/about-us/,Venture Partnership Foundation,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Grant, Loans, Equity",,,,,"Supports the growth of high impact social enterprises” through funding and professional guidance from the private sector. Grants between £15,000- £35,000 per annum for 3 to 5 years. Social investment is also available but estimated amount is not specified. Should have a proven concept which addresses a social need, be nearing growth stage and should be prepared to engage in partnership with other members.",01 December 2014,Open
Abundance Generation,https://www.abundancegeneration.com/,Abundance Generation Crowdfunding Platform,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Equity, Platform",,,,,Provides a crowd-funding platform for raising money in renewable energy projects. ,01 December 2014,Open
Babyloan,http://www.babyloan.org/en,Baby Loan Crowdfunding Platform,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Loans, Platform",,,,,A platform to raise micro-loan finance ,01 December 2014,Open
Better Place,https://www.betterplace.org/en/collect-donations/online-fundraising,Better Place Online Fundraising,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Grant, Platform",,,,,Online donation platform ,01 December 2014,Open
Buzz Bank,https://www.buzzbnk.org/,Buzz Bank Crowdfunding Platform,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Grant, Platform",,,,,Buzzbnk is an on-line crowd-funding platform bringing social ventures looking for start-up or growth capital together with like-minded people keen to participate in a new way of funding social change. It's a whole new way to do good with your money. ,01 December 2014,Open
Crowdcube,https://www.crowdcube.com/,Crowdcube Crowdfunding Platform,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Equity, Platform",,,,,The world’s first equity-based crowd funding community dedicated to business investment” ,01 December 2014,Open
Crowdfunder,http://www.crowdfunder.co.uk/,Crowdfunder Crowdfunding Platform,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Grant, Platform",,,,,"Sister site of Crowdcube. Crowdfunder turns great ideas into reality by connecting communities, working in partnership with Plymouth University and NESTA. ",01 December 2014,Open
Ethex,https://www.ethex.org.uk/,Ethex Crowdfunding Platform,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Equity, Platform",,,,,Crowd funding for social enterprises & non-profits ,01 December 2014,Open
Just Giving,,Just Giving Donation Platform,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,"Grant, Platform",,,,,"UK-registered charities or organisations with a GiftAid number, including schools, churches, community amateur sports groups and scout and guide groups ",01 December 2014,Open
Funding Circle,https://www.fundingcircle.com/,Crowdfunding Platform,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Platform",,,,,"Funding Circle is the world’s leading marketplace exclusively focused on small businesses - more than $500m (£300m) has been lent to 5,000 businesses. Today, businesses can borrow directly from a wide range of investors, including more than 30,000 people, the UK Government, local councils, a university and a number of financial organisations. ",01 December 2014,Open
Kickstarter,https://www.kickstarter.com/,Crowdfunding Platform,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Grant, Platform",,,,,"Artists, designers, filmmakers, musicians, journalists, inventors, explorers etc. ",01 December 2014,Open
Kiva,http://www.kiva.org/,Crowdfunding Platform,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Loans, Platform",,,,,"We are a non-profit organization with a mission to connect people through lending to alleviate poverty. Leveraging the internet and a worldwide network of microfinance institutions, Kiva lets individuals lend as little as $25 to help create opportunity around the world. ",01 December 2014,Open
Space Hive,http://spacehive.com/,Crowdfunding Platform,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,"Grant, Platform",,,,,Spacehive helps communities transform their local public spaces ,01 December 2014,Open
Sonsume,http://www.sponsume.com/,Crowdfunding Platform,"Europe ex UK, United Kingdom",,,"For-profit, non-profit","Grant, Platform",,,,,Creative projects ,01 December 2014,Open
Start Some Good,http://startsomegood.com/,Crowdfunding Platform,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Grant, Platform",,,,,Connecting social entrepreneurs with people that would like to help ,01 December 2014,Open
Zopa,,Peer to peer lending,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Loans, Platform",,,,,"Zopa is the pioneer of peer-to-peer lending, which uses the internet to cut out the banks entirely. It matches savers with individuals who want to borrow, leaving out the bank and offering better rates all round. ",01 December 2014,Open
Charity Bank,http://www.charitybank.org/,Social Bank,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Loans,,,50000,1000000,"Third Sector organisations requiring funds to further social change. Must be able to demonstrate the organisation is constituted with social objectives and is non-profit distributing to private individuals. Will lend to ‘for profit’ companies if the loan is exclusively for charitable purposes Charity Bank finances social enterprises, charities and community organisations, with the support of depositors and investors who want to use their money to facilitate real social change.” The bank’s ultimate mission is to maximise impact on society, not to maximise profit.",01 December 2014,Open
Shared Impact,http://www.shared-interest.com/,Social Bank,"United Kingdom, Europe ex UK, US, Global",,,Fair Trade Organisations,Loans,,,,,"Loan finance and credit facilities offered exclusively to fair-trade producers and buyers. Shared Interest is an “ethical investment co-operative” providing finance to businesses in Europe, the US, Australia and the developing world. They are currently the world’s only 100% fair-trade lender. Businesses should be members of WFTO (or a local or regional affiliate) or FLO certified, have at least three years’ trading history and a positive balance sheet.",01 December 2014,Open
Triodos,http://www.triodos.co.uk/en/personal/,Social Bank,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Loans,,,25000,15000000,"Triodos is a socially driven bank, investing solely in ethical businesses, social enterprises, charities, and community and voluntary groups that deliver positive social, environmental, and cultural change. Triodos has lending and commitments in excess of £500m, making their social banking activities the most extensive in the UK. Focus: social, environmental and organic businesses; arts and culture sector. Customers include microfinance banks in developing countries, innovative fair trade enterprises, organic food and farming businesses, renewable energy enterprises, recycling companies and social housing providers Company, institution or projects must clearly benefit society and the environment",01 December 2014,Open
Unity Trust Bank,http://www.unity.co.uk/,Social Bank,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Loans,,,250000,6000000,"For Civil society, social enterprises, community interest companies (CICs), councils and trade unions. Unity Trust Bank is a specialist provider of financial services to civil society, social enterprises, councils, trade unions, CICs35 and small businesses. It provides a diverse range of flexible financial products and services. The range of products, from bridging loans to property development funding, are outlined here Some loans from Unity Trust Bank require your organisation to be a registered charity, umbrella organisation or development organisation",01 December 2014,Open
Arthur Guiness Fund,http://www.guinness.com/en-row/agf/,Foundation Trust,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit",Grant,,,,,"Arthur Guinness Projects operates under the auspices of the Diageo Marketing Code (DMC). As such, we do not support projects that relate to youth education initiatives. However the Fund does support a wide range of innovative and pioneering projects from deforestation, to equal employment opportunities, sustainable farming, and technology. ",01 December 2014,Open
Barrow Cadbury Trust,http://www.barrowcadbury.org.uk/criminal-justice/,Criminal Justice,United Kingdom,England,"Birmingham, Black Country",Non-profit,Grant,,,,,"The Barrow Cadbury Trust’s Criminal Justice Programme aims to build evidence of effective interventions, primarily for young adults and women at all stages of the criminal justice process, and seek implementation at a national and local level in policy and practice. ",01 December 2014,Open
Barrow Cadbury Trust,http://www.barrowcadbury.org.uk/migration/,Migration,United Kingdom,England,"Birmingham, Black Country",Non-profit,Grant,,,,,"The Barrow Cadbury Trust's Migration Programme promotes support for an immigration system that is fair to both migrants and established residents and a constructive, evidence-based policy and public debate on migration and integration. The trust supports groups working with vulnerable migrants and campaigning for their fair treatment and works in partnership with think-tanks, policy-makers, academics, funders and campaigners on research and policy work. One of these partnerships is with the Changing Minds Initiative. A current priority is to help generate a more constructive, balanced and inclusive public and policy debate on migration and integration.",01 December 2014,Open
Barrow Cadbury Trust,http://www.barrowcadbury.org.uk/resources-and-resilience/,Resources & Resilience,United Kingdom,England,"Birmingham, Black Country",Non-profit,Grant,,,,,We want to help people to build their economic security and overcome barriers to financial inclusion. We also want to support communities to tackle and find solutions to their own problems and have an active role and voice in the structures and services that affect them - we call this 'Community-Led Change.' The Trust wishes to achieve change at both a community and structural level and to encourage learning to be shared across these areas. ,01 December 2014,Open
Barrow Cadbury Trust,http://www.barrowcadbury.org.uk/social-investment/,Social Investment,United Kingdom,England,"Birmingham, Black Country","For-profit, non-profit","Loans, Equity",3 - 10,,50000,250000,"In 2010 the trustees decided to use some of the endowment itself to further the aims of the trust through investments in charities and social enterprises, aiming to achieve both a social and a financial return with the funds.  We have allocated £4 million for social investments (5% of our endowment), of which just over £2 million is currently committed. The growing market in social investments and the limited capital we have available to invest means that we will target our funds to build a portfolio that will both further social justice and develop the social investment market.  We aim to hold a mixed portfolio and are unlikely to make a number of investments of a similar nature. We will only make an investment in a non-charitable company in the following circumstances:

    The social mission of the non-charitable company is in line with the aims of the Trust.
    Any private benefit arising from the investment is necessary, reasonable and in the interests of the Trust.
    Any private benefit is not excessive and the investment is clearly for the public benefit.
    Where there is the opportunity for considerable economic gain by the company then the Trust will benefit from that gain (e.g. by holding an equity stake rather than advancing a loan).
",01 December 2014,Open
Calvert Foundation,http://www.calvertfoundation.org/,Foundation Trust,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Loans,1 - 5,,800000,4000000,"We lend to established community organizations, including CDFIs, loan funds, microfinance institutions, affordable housing developers, and social enterprises. Through your work, we are building strong, healthy communities. Loan candidates should meet the following criteria:

    Three years of operating experience. We do not lend to start-up organizations.
    A solid base of net assets or net worth with minimum total assets of $10 million. As general recourse lenders, we look to an organization's net assets or equity base as a possible source of repayment. Loan candidates should have sufficient equity available to cover their desired loan several times over.
    Evidence of good operating performance. Loan candidates should demonstrate a minimum level of self-sufficiency by posting positive net income for the past two fiscal years. Self-sufficiency is defined as the percentage of on-going operating expenses supported by earned income.
    Audited financial statements. Loan candidates should be able to provide audited financial statements with notes for the past three years of operation.
    Loans capital. Loan candidates should have a track record of raising and repaying Loans capital.
    Strong and seasoned management. We work with organizations that demonstrate continuity at the management level, typically with a CEO in place for at least 12+ months.
",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/cbt/,Social Investment Fund,United Kingdom,England,London,"For-profit, non-profit","Loans, Equity",,2.70%,,,"The Fund aims to achieve a financial return at a rate not less than the average interest earned on the City’s cash holdings and a demonstrable social benefit. It will help position the City of London as a leader in social investment, develop London as a global centre for social investment and by so doing, help to grow the market. ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/01EnglishForSpeakersOfOtherLangauages.htm,English for speakers of other languages,United Kingdom,England,London,Non-profit,Grant,,,,50000,"We want to fund projects that will achieve one or more of the following:

    more people with improved English language skills 
    more people accessing mainstream services 
    more people participating in the wider community  ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/02ImprovingLondonersMentalHealth.htm,Improving londoner's mental health,United Kingdom,England,London,Non-profit,Grant,,,,50000,"We want to fund projects that will achieve one or more of the following:

    more children and young people receiving specialist help, resulting in improved mental health
    more homeless and transient people having access to mental health services and reporting improved well-being
    more offenders and ex-offenders receiving help and support to improve their mental health 
    more refugees and asylum seekers experiencing trauma, grief and loss accessing mental health services resulting in improved mental health
    more people from BME communities accessing appropriate mental health services, resulting in them receiving the right care and treatment
    more LGBT people accessing mental health services resulting in improved mental health and reduced mental distress
    a reduction in suicide and self-harm amongst the recognised at risk groups. ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/03ImprovingLondonsEnvironment.htm,Improving London's Environment,United Kingdom,England,London,Non-profit,Grant,,,,50000,"We want to fund projects which will achieve one or more of the following:

    more Londoners with a greater knowledge and understanding of the 'green' environment and biodiversity
    more Londoners reporting improved well-being through greater use of open spaces and through growing and greening initiatives 
    more young people understanding the benefit of growing local food and its nutritional value. ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/04MakingLondonMoreInclusive.htm,Making London More Inclusive,United Kingdom,England,London,Non-profit,Grant,,,,50000,"We want to fund projects that will achieve one or more of the following:

    community buildings that are more accessible and as a result are more widely used by disabled people 
    disabled people actively taking part in arts or sport 
    disabled people involved in the running and management of sports activities 
    disabled people involved in the running and management of arts provision
    disabled people reporting increased well-being as a result of taking part in the arts or sport
    services helping people with a newly acquired or diagnosed disability to maintain choice and control in their lives
    work supporting young disabled people (aged 16-25) in the transition to adulthood and/or independent living
    work enabling disabled people of all ages to live independently. ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/05MakingLondonSafer.htm,Making London Safer,United Kingdom,England,London,Non-profit,Grant,,,,50000,"We want to fund projects that will achieve one or more of the following:

    more survivors of domestic violence accessing good quality support services that help them to improve their safety, health and well-being
    BME, LGBT and disabled survivors of domestic violence accessing appropriate services which understand and meet their needs
    domestic violence survivors empowered to avoid or leave violent, abusive or exploitative situations
    children and young people living in refuges accessing specialist support that helps reduce trauma, increases resilience and gives them a voice
    more survivors of trafficking accessing quality specialist support to improve their safety, health and well-being and beginning to reintegrate into society
    victims of hate crime being more aware of their rights and empowered to reduce feelings of fear. ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/06OlderLondoners.htm,Older Londoners,United Kingdom,England,London,Non-profit,Grant,,,,50000,"We want to fund projects that will achieve one or more of the following:

    older Londoners aged over 75 years living more active and healthier lives
    fewer older Londoners aged over 75 years with depression and more reporting improved well-being 
    older Londoners having increased awareness of benefits, finance, housing and other rights
    people living with Alzheimer’s and other forms of dementia having a better quality of life
    carers aged 65 years and over better able to access support, advice and respite. ",01 December 2014,Open
