provider,name,website,investment_term,loans_rate,min_size,max_size,focus,status,country,location,organisation_type,provider_type,region
Social Investments Scotland,SIS CDFI,http://www.socialinvestmentscotland.com/looking-for-investment/,10,,10000,250000,"Third Sector organisations (charities, community and voluntary organisations, not-for-profits and social enterprises) operating in Scotland Key Requirements: Any profits made by your organisation must be reinvested for community benefit Social Investment Scotland (SIS) provides business loan finance from £10k upwards and is aimed at charities, community organisations and social enterprises that might find it difficult to access finance from mainstream providers. Repaid loans are recycled to provide further support to other organisations and rates are fixed throughout the loan period. They offer all purpose loans, bridging loans and property loans (property loans are offered in partnership with Triodos Bank – see section 4.3.v). SIS has also been managing agent for Scottish Investment Fund £30m, which closed in March 2012",1,Scotland,NULL,Non-profit,Loans,United Kingdom
Social Investments Scotland,Social Growth Fund,http://www.socialinvestmentscotland.com/looking-for-investment/our-funds/,,,10000,1000000,"The Social Growth Fund represents a major funding boost for Scotland's social enterprises and third sector organisations as a result of significant new investments from both the Scottish Government and Big Society Capital, the UK wide, independent organisation that has been set up to grow the size of the social investment marketplace. See http://www.socialinvestmentscotland.com/files/7413/9687/8871/Annouce_Stakeholder_QA_FINAL.pdf",1,Scotland,NULL,Non-profit,Loans,United Kingdom
Social Investments Scotland,Investment Readiness Programme,http://www.socialinvestmentscotland.com/looking-for-investment/our-funds/,,,0,0,"In tandem with this new funding, SIS is also announcing the roll-out of a new investment readiness programme, designed to increase the knowledge, awareness and confidence of organisations looking to take on investment.",1,Scotland,NULL,Non-profit,Support,United Kingdom
Social Investments Scotland,All Purpose Loan,http://www.socialinvestmentscotland.com/looking-for-investment/our-funds/,13,8%,10000,1000000,"Repayable up to a maximum of 13 years, our All Purpose Loan has a fixed interest rate and capital payments so you know exactly what your organisation is required to pay each monthIdeal for assisting with capital expenditure, revenue funding, marketing, business development or working capital
Loans range from £10,000 to £1,000,000 with no penalty for partial or full early repayment
Competitive interest rates - currently between 7% and 9% fixed over life of the loan
1% Arrangement fee",1,Scotland,NULL,Non-profit,Loans,United Kingdom
Social Investments Scotland,Bridging Loan,http://www.socialinvestmentscotland.com/looking-for-investment/our-funds/,1,7%,10000,250000,"Short term finance provided at short notice. Used to cover timing issues for receipt of approved grant monies to enable your project to proceed when the secured grant funding is being paid in arrears
Loans from £10,000 to £250,000 with no security normally required
Competitive interest rates - currently fixed at 7%
1% Commitment fee - paid upfront on issue of facility letter
1% Arrangement Fee - paid on first drawdown",1,Scotland,NULL,Non-profit,Loans,United Kingdom
Social Investments Scotland,Triodos Property Loan,http://www.socialinvestmentscotland.com/looking-for-investment/our-funds/,13,8%,30000,1000000,"Working in partnership with Triodos Bank we provide term loans up to a maximum 13 years (see note 1)Ideal for assisting with all types of property purchase, refurbishments or major capital spends Triodos provide up to 70% Loan To Value or purchase price (whichever is the lower) and SIS can provide up to the remaining 30% of the loan even if you don't have any equity
SIS Loans range from £30,000 to £1,000,000 depending on percentage split
Competitive interest rates - currently between 7% and 9% fixed over life of the loan (see note 2)
Our arrangement Fee - 1% of SIS borrowing (see note 3)
1. Triodos can provide loans for up to 25 years.
2. Triodos interest rates and fees to be agreed by them.
3. Tridos arrangement fee subject to circumstances.",1,Scotland,NULL,Non-profit,Loans,United Kingdom
CAF Venturesome,SE Assist,https://www.cafonline.org/charity-finance--fundraising/borrowing/social-investment/se-assist,,0%,10000,30000,"SE-Assist is a regional programme, managed by CAF Venturesome, which provides a comprehensive package of support to help early-stage social enterprises thrive. SE-Assist gives organisations access to affordable working and development capital, along with dedicated business expertise to help them grow.SE-Assist currently has funds in Sussex and Croydon, with more funds in other regions coming soon.
Key features of the SE-Assist Fund

Successful social enterprises in the SE-Assist regions receive a support package which includes an interest free loan of between £10,000 and £30,000, an experienced mentor from a leading local company and access to a bank of experts. SE-Assist also supports the creation of local social enterprise networks, allowing applicants to access peer-to-peer learning and best practice.
Criteria

To be eligible for the SE-Assist Fund, social enterprises should:
be based within one of our SE-Assist fund regions
have a social impact that addresses a local social or environmental need
have an annual turnover of less than £500,000 p.a. (over the last three years) for the organisation, or specific initiative, for which you are applying
have borrowing powers as defined in your constitution
be willing to engage in the ongoing learning and development process to improve the SE-Assist proposition
have, or be working towards, a sustainable business model
be seeking support for organisational growth or sustainability
have a clearly defined need for the support package
be able to demonstrate how the support package will help to achieve the aims set out
be able to clearly outline how financial support will be used and repaid",1,England,NULL,NULL,Support,United Kingdom
CAF Venturesome,Development Fund,https://www.cafonline.org/charity-finance--fundraising/borrowing/social-investment/development-fund,,6.5%,25000,350000,"The Development Fund provides affordable, repayable finance to help high impact charities and social enterprise build their capacity and allow them to thrive. It provides finance from £25,000 to £250,000 in the form of unsecured loans.In the last six years CAF Venturesome has loaned over £8.5m from the Development Fund across a wide range of sectors, with an average loan size of £100k.",1,England,NULL,NULL,Loans,United Kingdom
CAF Venturesome,Social Impact Fund,https://www.cafonline.org/charity-finance--fundraising/borrowing/social-investment/caf-social-impact-fund,,,25000,350000,"The CAF Social Impact Fund lends capital to social organisations that would otherwise have few finance options. It provides finance from £25,000 to £350,000 in the form of unsecured loans.
Since its inception four years ago the CAF Social Impact Fund has lent over £5million.

The Social Impact Fund provides finance in three critical areas:

i) Working capital
ii) Underwriting facility – standby facilities that provide a safety net to social organisations
iii) Bridging loan –which can help your organisation manage working capital between receipts of committed but delayed income such as grants

Before providing financial support we conduct robust due diligence on your organisation, which involves (and is not restricted to) looking at strategy, current and historic finances and governance and management. We look for organisations to demonstrate a degree of social impact in order to qualify for financing.",0,England,NULL,NULL,Loans,United Kingdom
CAN Invest,CAN Early Intervention Fund,http://can-invest.org.uk/social-investment/social-enterprise/funds-investment/can-early-intervention-fund,,4%,5000,100000,"The Early Intervention Fund is a new fund launched by CAN to accelerate positive early intervention impact on communities and individuals in London. The fund will provide loans and business support to VCSE organisations who deliver innovative, demonstrably effective products and services in the ‘early intervention’ space for the benefit of children and young people. We have defined Early Intervention (EI) as: “programmes that support targeted action to prevent social cost and personal harm for children and young people.”",1,England,London,For-profit,Loans,United Kingdom
CAN Invest,Investment & Contract Readiness Services,http://can-invest.org.uk/social-investment/social-enterprise/investment-readiness,,,0,0,"CAN Invest is an Approved Provider for the Investment and Contract Readiness (ICR) Fund, a £10m fund managed by The Social Investment Business (SIB), which aims to support social ventures of all kinds that tackle social problems, are financially sustainable and want to scale up.",1,England,NULL,For-profit,Support,United Kingdom
Impetus,Private Equity Foundation,http://www.impetus-pef.org.uk/how-we-work/investing-in-charities/,,,50000,500000,"Our programmes are transforming the life chances of disadvantaged young people, through advancing educational attainment and improving their employability skills.
1) Educational attainment: Helping young people plan and fulfil their academic potential, with the subject frameworks, study skills and confidence to success in their chosen pathway.
2) Employability skills: Helping young people move successfully from school to employment, with support to develop personal skills and gain experience in the workplace.

Our approach at Impetus-PEF is to work with organisations in depth and typically over a number of years. We work closely and collaboratively with the leaders of each of our portfolio charities, supporting them to build high-impact organisations.

In the first instance, we look for promising charities and social enterprises that aim to effect far-reaching change for the young people they help. We perform rigorous due diligence before deciding to support them.

We manage our partnerships with charities in a series of phases:

- Before we start each phase, we agree a programme of work, financial commitment, duration and set of milestones with the charity
- At the end of each phase, we assess and agree with the charity whether it is ready and committed to progress to the next phase of investment
- Each phase leads to positive tangible results for the charity and increased impact for the young people that the charity serves.

Where the evidence shows that its programmes lead to lasting and meaningful change, we help the charity to expand significantly – and in doing so, enable it to increase dramatically the number of young lives it is in a position to transform.",1,England,NULL,Non-profit,Grant,United Kingdom
Inspiring Scotland,Social Funds,https://www.inspiringscotland.org.uk/what-we-do/thematic-funds/,,,0,0,"We have a number of funds running concurrently, each has a very clear focus and is tackling a different area of social need.  Our focus to-date, has been on tackling youth unemployment, increasing play opportunities for children, improving early years support and helping to empower people living in our most vulnerable communities improve their lives.  
Our robust performance management means we are able to demonstrate the difference each fund is making. Individual funds will run for a set time period, so we will have a rolling programme of different funds starting as others reach their natural end point.

Current Funds

14:19 Fund - Our first and longest running fund, established in 2009, is performing well in supporting young Scots to make a successful transition from school into education, training and employment.
Go2Play - builds on the success of the two year Go Play programme, invests in a small portfolio of play ventures to support the expansion of play rangers.
Link Up - is a new model of community building that helps individuals and communities create solutions to lcoal issues.  It's working with some of Scotland’s most disadvantaged communities to encourage residents to come together, build new relationships and start to address the challenges they face.",1,Scotland,NULL,Non-profit,Grant,United Kingdom
Social Business Trust,Social Business trust,http://www.socialbusinesstrust.org/how-to-apply,,,0,3000000,"Social enterprises that are registered charities, have a proven track record and ambitious plans; must have annual revenue in excess of £1 million, be at least 12 months old and help at least 1000 people a year through their services (directly or indirectly). Social Business Trust works with social enterprises capable of scaling up their operations on a regional and national level to become investment ready and attract funds from its corporate partners. Through its corporate partners, the Social Business Trust works with social enterprises to take a long-term view towards financial sustainability, skills development, due diligence, and investment. The trust aim to invest in five social enterprises per year. The organisation should be registered as a charity or demonstrate a clear charitable purpose",1,England,NULL,Non-profit,Grant,United Kingdom
Venture Partnership Foundation,Venture Growth Model,http://www.vpf.org.uk/about-us/,,,0,0,"Our expert due diligence, based on the record of our Members in backing winners in both the commercial and social sectors, identifies up-and-coming social entrepreneurs with a proven model and the ambition to scale.
We back them to become even more effective, with a combination of financial support and professional expertise from the private sector.

Established by a membership of private and institutional funders, VPF’s pioneering model leverages primarily unrestricted grants with private sector pro bono support and access to members' networks.

This facilitates growth and ultimately maximises social impact.

Our mission is to:

- Increase and redistribute the amount of money being directed towards social innovation;
- Become the lead donor of choice to social entrepreneurs and the dynamic organisations that they run;
- Promote engagement of the commercial sector in the activities of social entrepreneurship;
- Positively influence the way in which the charitable and social enterprise sector is perceived by the commercial sector.",1,England,NULL,For-profit,Grant,United Kingdom
Abundance Generation,Abundance Generation Crowdfunding Platform,https://www.abundancegeneration.com/,,,0,0,Provides a crowd-funding platform for raising money in renewable energy projects.,0,England,NULL,For-profit,Loans,United Kingdom
Better Place,Better Place Online Fundraising,https://www.betterplace.org/en/collect-donations/online-fundraising,,,0,0,"Online donation platform. If you want to gain the long-term loyalty of your donors you need a convincing strategy – and authentic and personal communication. On betterplace.org supporters can experience your project: By posting news and adding pictures or videos, you can instantly provide your supporters with updates on the progress of your project. You can also segment your donors and send a customized newsletter to each group in order to encourage them to donate again. You will profit from the efficiency of our communication system. And your givers might want to donate again, again, and again...",1,England,NULL,For-profit,Grant,United Kingdom
Fundit.Buzz,Former Buzz Bank Crowdfunding Platform,https://fundit.buzz/,,,0,0,Buzzbnk is an on-line crowd-funding platform bringing social ventures looking for start-up or growth capital together with like-minded people keen to participate in a new way of funding social change. It's a whole new way to do good with your money.,1,England,NULL,For-profit,Grant,United Kingdom
Crowdcube,Crowdcube Crowdfunding Platform,https://www.crowdcube.com/,,,0,0,"Crowdcube is the world’s leading investment crowdfunding platform. We enable anyone to invest alongside professional investors in start-up, early stage and growth businesses through equity, debt and investment fund options.Join the 200,000-strong crowd looking for more interesting investments - it’s free, quick and has no obligations.",1,England,NULL,For-profit,Loans,United Kingdom
Crowdfunder,Crowdfunder Crowdfunding Platform,http://www.crowdfunder.co.uk/,,,0,0,"Crowdfunder turns great ideas into reality, by connecting people, projects and partners. Crowdfunder has raised millions for businesses, social enterprise, charities and individuals - and unlocked millions more through match funding and support. Our investors include Nesta, Creative England, Plymouth University and Crowdcube.",1,England,NULL,For-profit,Grant,United Kingdom
Crowdfunder,Community Shares Campaign,http://www.crowdfunder.co.uk/communityshares,,,0,0,A platform where you can place your project to raise money for community share offers.,1,England,NULL,For-profit,Platform,United Kingdom
Ethex,Ethex Crowdfunding Platform,https://www.ethex.org.uk/,,,0,0,Crowd funding for social enterprises & non-profits,1,England,NULL,For-profit,Loans,United Kingdom
Just Giving,Just Giving Donation Platform,https://home.justgiving.com/,,,0,0,"UK-registered charities or organisations with a GiftAid number, including schools, churches, community amateur sports groups and scout and guide groups",1,England,NULL,Non-profit,Grant,United Kingdom
Funding Circle,Crowdfunding Platform,https://www.fundingcircle.com/uk/,5,,5000,1000000,"Funding Circle is the world’s leading marketplace exclusively focused on small businesses - more than $500m (£300m) has been lent to 5,000 businesses. Today, businesses can borrow directly from a wide range of investors, including more than 30,000 people, the UK Government, local councils, a university and a number of financial organisations.",1,England,NULL,For-profit,Loans,United Kingdom
Kickstarter,Crowdfunding Platform,https://www.kickstarter.com/,,,0,0,"Kickstarter helps artists, musicians, film-makers, designers, and other creators find the resources and support they need to make their ideas a reality. To date, tens of thousands of creative projects — big and small — have come to life with the support of the Kickstarter community.",1,England,NULL,For-profit,Grant,United Kingdom
Kiva,Zip,https://zip.kiva.org/borrow,,,0,0,"We are a non-profit organization with a mission to connect people through lending to alleviate poverty. Leveraging the internet and a worldwide network of microfinance institutions, Kiva lets individuals lend as little as $25 to help create opportunity around the world.",1,England,NULL,For-profit,Loans,United Kingdom
Space Hive,Crowdfunding Platform,http://spacehive.com/,,,0,0,Spacehive helps communities transform their local public spaces by providing a crowd fiunding site specifically focused on finance for the improvement of civic spaces.,1,England,NULL,Non-profit,Grant,United Kingdom
Charities Trust,Crowdfunding Platform,https://www.sponsorme.co.uk/sponsor-me.aspx,,,0,0,"Charities Trust is the most innovative donations management company in the UK, working with companies, individuals and charities to grow the giving market. 
CT Donate is the online platform that is home to Charities Trust's key fundraising tools. From here you can set up a Sponsor Me fundraising page or manage a My Giving Account.",1,England,NULL,For-profit,Grant,Europe ex UK
Start Some Good,Crowdfunding Platform,http://startsomegood.com/,,,0,0,"StartSomeGood is a for-profit social enterprise with a revenue model that aligns directly with those of the social entrepreneurs using our site. Because we only receive funds ourselves if our ventures succeed, we provide a high-touch experience, guiding social entrepreneurs along their StartSomeGood journey from the moment they apply to be a venture, to smashing funding goals and beyond. Success on StartSomeGood is a win-win-win situation: our ventures receive the captial they need to transform their ideas into action and impact; supporters know that their funds go to creating new tangible good in the world; and StartSomeGood continues to grow and support more social innovation.",1,England,NULL,For-profit,Grant,United Kingdom
Zopa,Peer to peer lending,http://www.zopa.com/,,,0,0,"Zopa is the pioneer of peer-to-peer lending, which uses the internet to cut out the banks entirely. It matches savers with individuals who want to borrow, leaving out the bank and offering better rates all round.",1,England,NULL,For-profit,Loans,United Kingdom
Cooperative and Community Finance,Community Loan Fund,https://coopfinance.coop/borrow/,,,10000,150000,"We lend to organisations that are owned and democratically controlled by their members, who are usually either employees, customers or members of a community. Loans from £10,000 to £75,000 are readily available, and we are able to lend up to £150,000 using other funds. We do not require personal guarantees. We manage a range of loan funds throughout the UK, and currently have around £4m available to lend. Our staff will be glad to advise on the availability of specific funds and the most suitable forms of finance for your business.",1,England,NULL,For-profit,Loans,United Kingdom
Charity Bank,Social Bank,http://www.charitybank.org/,,,50000,2500000,"Third Sector organisations requiring funds to further social change. Must be able to demonstrate the organisation is constituted with social objectives and is non-profit distributing to private individuals. Will lend to ‘for profit’ companies if the loan is exclusively for charitable purposes Charity Bank finances social enterprises, charities and community organisations, with the support of depositors and investors who want to use their money to facilitate real social change.” The bank’s ultimate mission is to maximise impact on society, not to maximise profit.",1,England,NULL,Non-profit,Loans,United Kingdom
Shared Impact,Social Bank,http://www.shared-interest.com/,,,0,0,"Loan finance and credit facilities offered exclusively to fair-trade producers and buyers. Shared Interest is an “ethical investment co-operative” providing finance to businesses in Europe, the US, Australia and the developing world. They are currently the world’s only 100% fair-trade lender. Businesses should be members of WFTO (or a local or regional affiliate) or FLO certified, have at least three years’ trading history and a positive balance sheet. Shared Interest lends funds to fair trade buyer and producer organisations. The majority of our lending now goes to producers in more remote areas across the globe that are unable to access fair finance.
Increasing our direct lending to producer groups remains one of our priorities and it is increasing year on year thanks to our people working on the ground in Kenya, Peru and Ghana.",1,England,NULL,Fair Trade Organisations,Loans,United Kingdom
Triodos,Social Bank,http://www.triodos.co.uk/en/personal/,,,25000,15000000,"Triodos is a socially driven bank, investing solely in ethical businesses, social enterprises, charities, and community and voluntary groups that deliver positive social, environmental, and cultural change. Triodos has lending and commitments in excess of £500m, making their social banking activities the most extensive in the UK. Focus: social, environmental and organic businesses; arts and culture sector. Customers include microfinance banks in developing countries, innovative fair trade enterprises, organic food and farming businesses, renewable energy enterprises, recycling companies and social housing providers Company, institution or projects must clearly benefit society and the environment",1,England,NULL,For-profit,Loans,United Kingdom
Unity Trust Bank,Social Bank,http://www.unity.co.uk/,,,250000,6000000,"Welcome to Unity Trust Bank. We are the bank for organisations and businesses that aim to create community, social or environmental benefit in a financially sustainable way. We seek to put social change at the heart of everything we do by offering specialist banking and finance to organisations that have a positive impact on their communities.
We put social good and financial sustainability equal first and we use customer deposits to fund lending where there are clear social impacts; for example supporting job creation and retention or housing and community development.

We offer tailored products and services to suit our customers’ needs and we are committed to providing high levels of service for our customers, this is why the majority of new business comes to us by customer recommendation.",1,England,NULL,For-profit,Loans,United Kingdom
Guinness,Arthur Guinness Projects,http://www.guinness.com/en-row/agf/,,,0,0,"Arthur Guinness Projects operates under the auspices of the Diageo Marketing Code (DMC). As such, we do not support projects that relate to youth education initiatives. It funds entrepreneurs with financial support, mentoring and marketing support. It supports positive community change (eg deforestation, equal opportunities, sustainable farming, technology) based on innovation and social good.",0,England,NULL,For-profit,Grant,United Kingdom
Barrow Cadbury Trust,Resources & Resilience,http://www.barrowcadbury.org.uk/resources-and-resilience/,,,0,0,"We want to help people to build their economic security and overcome barriers to financial inclusion. We also want to support communities to tackle and find solutions to their own problems and have an active role and voice in the structures and services that affect them - we call this 'Community-Led Change.' The Trust wishes to achieve change at both a community and structural level and to encourage learning to be shared across these areas. Under this programme we wish to fund:1. Projects in Birmingham and the Black Country that are seeking to build financial inclusion and/or people’s ability to participate and influence at a local level to improve their resilience.
2. Projects in Birmingham and the Black Country that are supporting effective and sustainable approaches to building community-led social change at a local level in communities.
3. Policy and research work that support effective approaches to building sustainable and socially just economic systems.",0,England,Birmingham,Non-profit,Grant,United Kingdom
Barrow Cadbury Trust,Social Investment,https://www.barrowcadbury.org.uk/what-we-do/programmes/social-investment/current-social-investments/,3 - 10,,50000,250000,"In 2010 the trustees decided to use some of the endowment itself to further the aims of the trust through investments in charities and social enterprises, aiming to achieve both a social and a financial return with the funds.  We have allocated £4 million for social investments (5% of our endowment), of which just over £2 million is currently committed. The growing market in social investments and the limited capital we have available to invest means that we will target our funds to build a portfolio that will both further social justice and develop the social investment market.  We aim to hold a mixed portfolio and are unlikely to make a number of investments of a similar nature. We will only make an investment in a non-charitable company in the following circumstances:
    The social mission of the non-charitable company is in line with the aims of the Trust.
    Any private benefit arising from the investment is necessary, reasonable and in the interests of the Trust.
    Any private benefit is not excessive and the investment is clearly for the public benefit.
    Where there is the opportunity for considerable economic gain by the company then the Trust will benefit from that gain (e.g. by holding an equity stake rather than advancing a loan).",1,England,Birmingham,For-profit,Loans,United Kingdom
City Bridge Trust,Social Investment Fund,http://www.citybridgetrust.org.uk,,,0,100000,City Bridge Trust is the funding arm of Bridge House Estates. It was established to make use of funds surplus to bridge requirements and provides grants totalling around £15m per year towards charitable activity benefitting Greater London.. The City Bridge Trust invests across a broad range of areas. Their criteria and priorities can be found here http://www.cityoflondon.gov.uk/about-the-city/about-us/community-partnerships/Pages/city-bridge-trust.aspx,1,England,London,For-profit,Grant,United Kingdom
Global Partnerships,Social Venture Fund,http://www.globalpartnerships.orgund/social-venture-fund/,,,0,0,"We invest in early stage companies that are addressing a compelling social problem in the poorest communities. At this time, we are focused geographically in East Africa, Central America, and the Northern Andean Corridor.",1,England,NULL,For-profit,Loans,United Kingdom
Esmee Fairbairn Foundation,Social Investment,http://esmeefairbairn.org.uk/what-we-fund/social-investment/,,,0,0,"Alongside our grant funding we provide social investment in the form of different types of repayable finance to charities and other not-for-profit organisations with the aim of creating social impact. Social investment is a different way of funding charitable activities. 
Since 2008 we have made over 90 social investments. We can commit up to £35m in social investments. We invest in a diverse range of organisations including charities, social enterprises, community benefit societies and other social investment funds.

How does it work?
Social investment is based on two key principles;

1. Social return – the investment helps to generate social impact and positive outcomes for people, communities or the environment.
2. Financial return – the organisation receiving the investment (a loan for example) will be able to generate sufficient income from its activities, goods or services to cover its costs and repay the funding over time.

We are an impact first investor, this means the social investments we make aim to achieve a high social impact as well as a financial return and be a good fit with our funding priorities.

Our social investments take a variety of forms, we work with an organisation to assess its business model and the type of finance needed to support the work in order to structure an appropriate investment. We do not have set interest rates or repayment terms; it all depends on the type of investment, what the organisation is aiming to achieve and what the social impact is likely to be.

We support both revenue and capital projects with social investment.
Our social investments include loans, charity bonds, equity, revenue participation agreements and Social Impact Bonds (SIBs). Our Jargon Buster explains these different types of investments in more detail.",1,England,NULL,For-profit,Loans,United Kingdom
Esmee Fairbairn Foundation,Grant Funds,http://esmeefairbairn.org.uk/what-we-fund/,,,0,0,"We fund across four main sectors – Arts, Children and Young People, Environment and Social Change – as well as through our Food funding strand. Across all our funding we aim to unlock and enable potential, back the unorthodox and unfashionable, build collective networks and catalyse system change.
We offer three types of support: grants, social investments and Grants Plus support.",1,England,NULL,Non-profit,Grant,United Kingdom
Friends Provident Foundation,Building Resilient Economies,http://www.friendsprovidentfoundation.org/programme-overview,,,0,0,"This funding programme aims to contribute to a more resilient, sustainable and fairer economic system. There are two parts to the programme: Systems Change and Local Economic Resilience.",1,England,NULL,For-profit,Grant,United Kingdom
Hoare & Co,Golden Bottle Trust,http://www.hoaresbank.co.uk/golden-bottle-trust,,,0,0,"The Golden Bottle Trust (GBT) was established by the Partners of the bank in 1985 to donate money to a wide range of causes including:
    Arts
    Community
    Education
    Wildlife
    Health
    The Developing World

Each year, the Partners give some of the bank's profits to the Golden Bottle Trust, both to support charities in that year and to create a reserve to support future giving. The trustees have agreed that up to 25% of the fund should be made in social investments.",1,England,NULL,Non-profit,Grant,United Kingdom
Joseph Rowntree Charitable Trust,Sustainable Future,http://www.jrct.org.uk/sustainable-future,,,2000,150000,"Funds the development and promotion of sustainable, low-carbon, alternatives to the current consumerist and growth-based paradigm. Three strands: Better Economics, Beyond Consumerism and New Voices",1,England,NULL,Non-profit,Grant,United Kingdom
Lankelly Chase,Social Investment Fund,http://www.lankellychase.org.uk/social_investment,,,5000,400000,"Lankelly Chase aims to bring about lasting change in the lives of people facing severe and multiple disadvantage.
We are always looking for ideas that help to deliver the kind of change we want to see and we have funds available from small grants of less than £5,000 up to large multi-year partnerships (the biggest is currently £370,000) for the very best of these.

We know there is a lot of incredible work out there. However, we are looking for something specific. We want to support work that helps to change the fundamentals – not sticking-plaster solutions, no matter how many people they reach in the short term. We don’t make a lot of grants.

We especially welcome ideas from people who have lived experience of severe and multiple disadvantage.",0,England,NULL,Non-profit,Grant,United Kingdom
Nominet Trust,Social Tech Seed Fund,http://www.nominettrust.org.uk/how-to-apply,,,15000,50000,"Social Tech Seed provides funding and support that enables entrepreneurial organisations with a basic, but functional, digital prototype to develop it into a more robust product or service and demonstrate its value to intended users and other stakeholders. If your application is successful, you can expect to receive:
- Grant funding, typically between £15,000 and £50,000 for a project of 9-12 months’ duration
- A support package including mentoring, marketing & comms advice and networking opportunities
- Access to a discretionary fund of up to £5,000 should you need access to specific expertise to support your early-stage development

Unlike many other investors, Nominet Trust:

- Does not ask for an equity stake, nor requests loan repayments
- Allows successful ventures to retain any IP developed with our funding",0,England,NULL,For-profit,Grant,United Kingdom
Sainsbury Family Charitable Trusts,The Ashden Trust,http://www.ashdentrust.org.uk/,,,0,0,"The Ashden Trust is a grant-making charity established in 1989 and is one of the Sainsbury Family Charitable Trusts. We primarily support programmes focusing on climate change, sustainable development, or improving the quality of life in poorer communities. This includes a Social Investment Fund that provides support through loans, interest free loans and in some cases an equity stake in organisations which meet the charitable objectives of the Trust. Currently, priority is given to Ashden Award winners.",0,England,NULL,Non-profit,Grant,United Kingdom
Sainsbury Family Charitable Trusts,The JJ Charitable Trust,http://www.sfct.org.uk/,,,0,0,"JJ’s main areas of interest are:
    Literacy – to help improve the effectiveness of literacy teaching in primary and secondary education for children with learning difficulties, including Dyslexia, and for ex-offenders or those at risk of offending.
    Social and cultural change towards more sustainable lifestyles – creative approaches that visualise a sustainable future in positive ways, innovative enterprise and economic models that support sustainable lifestyles and the role of the media in communicating about sustainability.
    Environment projects overseas, especially community-based agriculture initiatives, which aim to help people help themselves in an environmentally sustainable way",1,England,NULL,Non-profit,Grant,United Kingdom
Sainsbury Family Charitable Trusts,The Climate Change Collaboration,http://climatechangecollaboration.org.uk,,,0,0,"The Climate Change Collaboration is a group of four Sainsbury Family Charitable Trusts. The Trusts are: Ashden Trust, JJ Charitable Trust, Mark Leonard Trust and Tedworth Trust. This group came together in 2011 to support pilot and research projects to find ways of reducing CO2 emissions quickly.",1,England,NULL,Non-profit,Grant,United Kingdom
Fair Finance,Business Loans,https://www.fairfinance.org.uk/business-loans,3,,5000,50000,Fair Finance is a social business working with the financially excluded in London. It offers affordable financial products to ensure that vulnerable and disadvantaged people can access financial services without needing to rely on predatory lenders.,1,England,NULL,For-profit,Loans,United Kingdom
Pymwymic,Intermediary,http://www.pymwymic.com/,,,0,0,"Put Your Money Where Your Mouth Is Community (Pymwymic) is based in the Netherlands, but is active across the globe. Any ‘for profit business’ that is also demonstrating a positive social impact has the potential to be supported by this community of families, philanthropists and angel investors which offers events, advice and capital raising opportunities. As a peer platform, we hunt for great companies and champion about 10 annually: we share with each other not only deals, but our ideas and efforts to create a more balanced economy. The cost of a core team in Amsterdam is shared through membership fees.",1,England,NULL,For-profit,Support,United Kingdom
Social Finance,Social Investment Intermediary,http://www.socialfinance.org.uk/about-us/,,,0,0,"Social Finance is a not for profit organisation that partners with the government, the social sector and the financial community to find better ways of tackling social problems in the UK and beyond.Our unique 60 member team comprises individuals with substantial financial, consulting and social expertise who share a common passion for solving entrenched social problems.

Since we started in 2007, Social Finance has mobilised over £100 million of investment and designed a series of programmes to tackle social challenges. These include support for 2,000 short sentence offenders released from Peterborough Prison, 380 children on the edge of care in Essex, 2,500 young people at risk of becoming NEET and 800 rough sleepers in London. We are also alleviating fuel poverty for over 2,300 families in Sunderland, enabling 15,000 families to access nursery places and free children’s services, and providing 7,500 affordable micro loans in Wales.",1,England,NULL,For-profit,Support,United Kingdom
Stepping Out,Foundation Fund,http://stepping-out.biz/,,,0,0,"Our mission is to identify, create and grow enterprises from the public sector - mainly English Councils and the NHS. We have a track record of supporting public services to spin out and to succeed afterwards. Our offer is to provide expert, professional and supportive input at every step along the way.  We practice what we preach too - through the Stepping Out Foundation we channel part of our profit directly back to early stage social entrepreneurs.  Helping social enterprises that wish to ""spin out"" public services. 
Having started social enterprises ourselves, we know that often - especially at the start - a small investment can make a big difference.

The Stepping Out Foundation makes awards that recognise entrepreneurship and attempts to improve the lives of people who use public services as social entrepreneurs, we remember what it’s like to get going. Therefore we aim to offer some small financial encouragement to people starting a social venture, without swamping them in onerous forms and reporting requirements.

The Stepping Out Foundation makes awards that recognise entrepreneurship and attempts to improve the lives of people who use public services",1,England,NULL,For-profit,Support,United Kingdom
